Points index,px,py,pz
fe2,-36.710709083201735,82.99868746998463,1.2666767819942115
fj2,-36.332517417250415,107.81476659799425,1.2223014274426907
fk2,-35.88360819983926,113.35413360979761,0.7022142400309723
fe3,-36.60626338474102,82.96887397627164,5.848356202268382
ff3,-36.843724989484215,87.86795837202445,5.84282444843319
fk3,-35.63664380136511,113.52597428258596,5.847705650591854
fe4,-36.65258707385209,82.80561613278961,10.77855086940398
fj4,-36.218305241420296,108.09288322732199,10.952402206641246
fk4,-36.08583848741505,113.1508891985763,10.790994105715228
be2,18.90423196230634,84.71090303016992,1.028578951491422
bf2,19.282669939773093,89.61581435342674,0.7117407102708634
bk2,20.028157163195353,114.68319759809734,0.6309088297079912
be3,19.38961121372099,84.64112399541341,5.489364628573482
bj3,19.886523184075905,109.57798256951233,5.02820631885434
bk3,19.51548031154919,114.63127409725712,5.895660596168602
be4,19.090991803179094,84.62212723006226,10.935193586200478
bf4,19.19091262944759,89.60934702421879,10.716373093599563
bk4,20.098468163144574,114.70394945145864,11.033976063927389
bn2,18.90423196230634,89.71090303016992,1.028578951491422
fn2,-40.88360819983926,113.35413360979761,0.7022142400309723
fn3,-36.60626338474102,87.96887397627164,5.848356202268382
bn3,24.51548031154919,114.63127409725712,5.895660596168602
bn4,19.090991803179094,89.62212723006226,10.935193586200478
fn4,-41.08583848741505,113.1508891985763,10.790994105715228
